,EnsembleAge,HannumClock,HorvathClock,PhenoAge,HorvathSkinBlood,AltumAge,EPIC21K,EPIC900,EPIC470,EPIC158,EPIC1060
MSC donor2,44.677223,18.12967,45.64104,43.371906,57.04082,59.202682,69.37437,66.09845,79.43299,72.457466,40.02963638
MSC donor4,42.207596,22.382198,44.664795,36.043854,47.62767,60.31947,67.08458,69.048134,81.15511,74.14614,51.25887299
MSC donor5,42.62449,14.938558,45.678577,41.74281,55.26124,55.50124,66.71912,60.011814,72.79288,74.22372,36.04735565
MSC donor6,36.73506,8.281274,37.287483,41.498222,39.913456,56.694874,55.126915,51.207844,66.345406,61.62213,32.79644775
MSC donor11,45.547325,22.412788,48.29454,40.657722,56.246464,60.12512,73.75626,69.039276,82.28938,75.96109,43.87299347
iP-MSC donor2 cloneA,-16.017162,-28.889732,-0.5954191,-50.28745,-0.91252494,0.5993093,-14.103074,4.489213,3.5917778,67.93639,-56.37696838
iP-MSC donor2 cloneB,-17.324375,-30.68445,-0.6407973,-55.23078,-0.9237354,0.85789716,-13.545279,0.34898287,0.023479482,65.10731,-58.37632751
iP-MSC donor4 cloneA,-16.362251,-29.841696,-0.6250233,-50.975025,-0.9164173,0.5469073,-12.801132,4.012599,2.334086,60.831615,-54.13379669
iP-MSC donor4 cloneB,-14.99545,-31.807987,-0.5893382,-41.89675,-0.91674876,0.23357856,-14.502416,3.3806314,1.485502,62.37558,-52.68139648
iP-MSC donor5 cloneA,-17.461843,-28.46596,-0.6679172,-57.57181,-0.92077714,0.31724155,-13.6197,1.8296658,-0.57616407,63.597492,-57.63018417
iP-MSC donor5 cloneB,-16.344854,-27.568335,-0.6713491,-53.090664,-0.91970885,0.52578104,-11.711437,2.0494957,0.35575774,62.851425,-59.45056534
iP-MSC donor2 cloneC,-16.212584,-28.456717,-0.47943702,-51.716583,-0.917528,0.50734127,-11.03938,2.8561878,-7.488308,62.38445,-7.802835941
iP-MSC donor5 cloneC,-16.040749,-33.497574,-0.44515902,-46.19532,-0.92332894,0.85763776,-11.4424095,5.335095,-5.7742305,69.088036,-34.75128937
ESC H1,-10.166072,-21.637812,0.353906,-30.101849,-0.84594786,1.4013427,-5.483812,15.26232,10.651916,75.51186,-29.14705086
ESC H9,-7.8647246,-25.00652,-0.061156876,-14.729071,-0.91064537,1.3837689,-13.15604,14.436766,11.211311,71.49453,-31.07199669
ESC HES2,-2.103578,-32.29956,-0.4621081,22.266367,-0.9289598,0.9063729,-11.181646,27.320578,21.994894,69.3036,-24.16474152